nama,km,bbm,transmisi,tahun,harga
Kijang Innova,90,diesel,otomatis,2011,171
Kijang Innova,10,bensin,otomatis,2018,268
Kijang Innova,60,bensin,manual,2014,172
Kijang Innova,90,bensin,manual,2012,137
Kijang Innova,45,diesel,manual,2012,205
Kijang Innova,15,bensin,manual,2012,155
Kijang Innova,20,bensin,manual,2006,99
Kijang Innova,80,bensin,otomatis,2014,185
Kijang Innova,35,diesel,manual,2016,290
Kijang Innova,105,bensin,otomatis,2010,120
Kijang Innova,5,bensin,manual,2019,277
Kijang Innova,105,diesel,otomatis,2013,219
Kijang Innova,225,bensin,manual,2006,96
Kijang Innova,20,diesel,manual,2018,284
Kijang Innova,25,bensin,otomatis,2016,265
Kijang Innova,15,diesel,otomatis,2012,189
Kijang Innova,155,bensin,otomatis,2011,133
Kijang Innova,110,diesel,otomatis,2012,195
Kijang Innova,65,bensin,otomatis,2017,260
Kijang Innova,165,diesel,otomatis,2008,143
Kijang Innova,90,diesel,manual,2008,150
Kijang Innova,45,bensin,manual,2014,198
Kijang Innova,140,bensin,manual,2009,104
Kijang Innova,70,bensin,otomatis,2014,168
Kijang Innova,40,bensin,otomatis,2012,158
Kijang Innova,80,bensin,otomatis,2008,125
Kijang Innova,135,bensin,manual,2009,115
Kijang Innova,35,diesel,manual,2012,197
Kijang Innova,15,bensin,otomatis,2016,299
Kijang Innova,130,diesel,otomatis,2013,203
Kijang Innova,65,diesel,manual,2016,275
Kijang Innova,75,bensin,otomatis,2008,130
Kijang Innova,145,bensin,manual,2009,135
Kijang Innova,115,bensin,otomatis,2009,128
Kijang Innova,200,bensin,manual,2005,82
Kijang Innova,95,bensin,manual,2005,94
Kijang Innova,95,bensin,otomatis,2013,152
Kijang Innova,100,bensin,manual,2011,150
Kijang Innova,90,diesel,otomatis,2013,198
Kijang Innova,150,bensin,manual,2009,120
Kijang Innova,150,bensin,manual,2008,107
Kijang Innova,80,bensin,otomatis,2013,145
Kijang Innova,95,bensin,manual,2005,115
Kijang Innova,145,diesel,otomatis,2008,160
Kijang Innova,105,bensin,manual,2009,130
Kijang Innova,115,bensin,manual,2013,145
Kijang Innova,150,bensin,manual,2009,140
Kijang Innova,300,bensin,manual,2005,105
Kijang Innova,110,bensin,otomatis,2008,110
Kijang Innova,145,bensin,manual,2004,87
Kijang Innova,205,bensin,manual,2004,98
Calya,10,bensin,manual,2018,121
Calya,5,bensin,manual,2019,129
Calya,5,bensin,manual,2019,125
Calya,15,bensin,manual,2018,128
Calya,85,bensin,manual,2017,100
Calya,45,bensin,otomatis,2016,115
Calya,25,bensin,manual,2018,121
Calya,30,bensin,manual,2017,117
Calya,5,bensin,manual,2019,158
Calya,10,bensin,manual,2018,120
Calya,10,bensin,manual,2018,120
Calya,5,bensin,manual,2019,140
Calya,5,bensin,manual,2019,146
Calya,10,bensin,manual,2018,120
Calya,5,bensin,manual,2019,120
Calya,30,bensin,otomatis,2018,125
Calya,45,bensin,manual,2017,114
Calya,20,bensin,otomatis,2017,125
Calya,55,bensin,manual,2016,110
Calya,75,bensin,otomatis,2016,105
Calya,30,bensin,manual,2017,105
Calya,40,bensin,manual,2017,114
Calya,35,bensin,otomatis,2017,110
Calya,30,bensin,manual,2017,114
Calya,30,bensin,otomatis,2016,115
Calya,45,bensin,manual,2016,103
Calya,5,bensin,manual,2019,146
Calya,5,bensin,manual,2019,154
Calya,5,bensin,manual,2019,164
Calya,50,bensin,otomatis,2017,120
Calya,30,bensin,otomatis,2016,120
Calya,30,bensin,otomatis,2017,123
Calya,20,bensin,manual,2017,122
Calya,45,bensin,manual,2016,112
Calya,5,bensin,manual,2019,130
Calya,5,bensin,manual,2019,130
Calya,20,bensin,manual,2016,115
Calya,60,bensin,otomatis,2017,120
Calya,70,bensin,otomatis,2016,115
Calya,70,bensin,manual,2016,107
Calya,55,bensin,manual,2016,107
Calya,15,bensin,otomatis,2016,107
Calya,30,bensin,otomatis,2017,126
Calya,25,bensin,manual,2017,118
Calya,25,bensin,manual,2017,113
Calya,20,bensin,otomatis,2017,122
Calya,15,bensin,otomatis,2017,120
Calya,10,bensin,manual,2018,125
Sienta,60,bensin,otomatis,2016,218
Sienta,30,bensin,otomatis,2017,175
Sienta,35,bensin,otomatis,2016,169
Sienta,60,bensin,otomatis,2016,170
Sienta,40,bensin,manual,2017,188
Sienta,65,bensin,manual,2017,155
Sienta,20,bensin,manual,2016,185
Sienta,45,bensin,otomatis,2016,160
Sienta,10,bensin,manual,2018,155
Sienta,50,bensin,otomatis,2016,175
Sienta,25,bensin,otomatis,2017,202
Sienta,40,bensin,otomatis,2017,172
Sienta,5,bensin,manual,2017,168
Sienta,55,bensin,otomatis,2016,175
Sienta,40,bensin,otomatis,2016,182
Sienta,55,bensin,otomatis,2017,169
Sienta,50,bensin,manual,2017,175
Sienta,25,bensin,otomatis,2017,199
Sienta,65,bensin,otomatis,2016,200
Sienta,25,bensin,otomatis,2017,180
Sienta,60,bensin,otomatis,2017,185
Sienta,15,bensin,otomatis,2017,179
Sienta,5,bensin,manual,2017,168
Sienta,75,bensin,manual,2017,168
Sienta,15,bensin,otomatis,2017,161
Sienta,30,bensin,otomatis,2017,189
Sienta,65,bensin,otomatis,2016,188
Sienta,50,bensin,otomatis,2016,180
Sienta,30,bensin,manual,2017,170
Sienta,35,bensin,otomatis,2017,195
Sienta,30,bensin,manual,2016,172
Sienta,5,bensin,manual,2017,156
Sienta,55,bensin,otomatis,2016,178
Sienta,15,bensin,otomatis,2018,195
Sienta,5,bensin,manual,2018,160
Sienta,30,bensin,otomatis,2016,169
Sienta,20,bensin,otomatis,2018,215
Sienta,50,bensin,otomatis,2017,200
Sienta,35,bensin,otomatis,2017,185
Sienta,40,bensin,otomatis,2017,178
Sienta,5,bensin,otomatis,2018,219
Sienta,25,bensin,otomatis,2017,229
Sienta,20,bensin,otomatis,2017,171
Sienta,20,bensin,otomatis,2017,199
Sienta,40,bensin,otomatis,2017,210
Sienta,40,bensin,otomatis,2017,190
Sienta,40,bensin,otomatis,2016,165
Sienta,25,bensin,otomatis,2017,200
Sienta,20,bensin,manual,2016,147
Sienta,30,bensin,otomatis,2017,183
Avanza,105,bensin,otomatis,2010,85
Avanza,175,bensin,otomatis,2009,87
Avanza,90,bensin,manual,2011,95
Avanza,20,bensin,otomatis,2009,90
Avanza,75,bensin,otomatis,2013,128
Avanza,70,bensin,manual,2011,109
Avanza,40,bensin,manual,2017,145
Avanza,65,bensin,otomatis,2014,145
Avanza,45,bensin,manual,2011,99
Avanza,90,bensin,manual,2012,120
Avanza,75,bensin,manual,2014,138
Avanza,20,bensin,manual,2010,110
Avanza,120,bensin,otomatis,2008,90
Avanza,40,bensin,manual,2006,79
Avanza,80,bensin,manual,2015,106
Avanza,50,bensin,manual,2016,132
Avanza,160,bensin,otomatis,2009,94
Avanza,10,bensin,manual,2008,92
Avanza,70,bensin,otomatis,2014,129
Avanza,5,bensin,manual,2019,185
Avanza,50,diesel,manual,2018,175
Avanza,45,bensin,manual,2013,135
Avanza,80,bensin,otomatis,2008,83
Avanza,105,bensin,manual,2016,133
Avanza,115,bensin,manual,2010,112
Avanza,100,bensin,manual,2014,119
Avanza,30,bensin,manual,2017,155
Avanza,30,bensin,otomatis,2016,152
Avanza,40,bensin,otomatis,2015,140
Avanza,105,bensin,manual,2007,105
Avanza,40,bensin,manual,2018,149
Avanza,70,bensin,manual,2013,120
Avanza,155,bensin,manual,2008,93
Avanza,75,bensin,otomatis,2015,140
Avanza,30,bensin,manual,2013,114
Avanza,5,bensin,manual,2019,170
Avanza,5,bensin,manual,2019,189
Avanza,5,bensin,manual,2019,187
Avanza,45,bensin,manual,2016,163
Avanza,95,bensin,otomatis,2015,125
Avanza,65,bensin,otomatis,2016,133
Avanza,5,bensin,otomatis,2019,240
Avanza,175,bensin,manual,2016,123
Avanza,110,bensin,manual,2010,117
Avanza,105,bensin,manual,2012,105
Avanza,100,bensin,manual,2008,95
Avanza,45,bensin,otomatis,2011,105
Avanza,95,bensin,manual,2010,113
Avanza,135,bensin,manual,2011,125
Avanza,110,bensin,manual,2004,80
Veloz,55,bensin,manual,2016,165
Veloz,25,bensin,otomatis,2017,161
Veloz,75,bensin,otomatis,2015,135
Veloz,30,bensin,manual,2017,170
Veloz,50,bensin,manual,2017,185
Veloz,10,bensin,otomatis,2019,210
Veloz,10,bensin,otomatis,2019,209
Veloz,40,bensin,otomatis,2016,150
Veloz,25,bensin,manual,2018,179
Veloz,145,bensin,otomatis,2015,100
Veloz,25,bensin,otomatis,2017,179
Veloz,10,bensin,otomatis,2012,136
Veloz,45,bensin,manual,2013,135
Veloz,15,bensin,manual,2018,180
Veloz,75,bensin,otomatis,2013,122
Veloz,30,bensin,manual,2017,176
Veloz,105,bensin,manual,2014,139
Veloz,55,bensin,manual,2016,165
Veloz,65,bensin,otomatis,2015,140
Veloz,25,bensin,otomatis,2018,183
Veloz,65,bensin,otomatis,2016,149
Veloz,50,bensin,otomatis,2015,141
Veloz,50,bensin,otomatis,2012,121
Veloz,45,bensin,otomatis,2017,170
Veloz,65,bensin,otomatis,2013,125
Veloz,20,bensin,manual,2019,190
Veloz,95,bensin,otomatis,2012,113
Veloz,45,bensin,otomatis,2018,170
Veloz,35,bensin,manual,2018,183
Veloz,45,bensin,otomatis,2016,157
Veloz,35,bensin,otomatis,2012,133
Veloz,40,bensin,manual,2013,138
Veloz,55,bensin,otomatis,2016,155
Veloz,75,bensin,otomatis,2013,125
Veloz,10,bensin,otomatis,2019,210
Veloz,85,bensin,otomatis,2013,122
Veloz,50,bensin,manual,2016,167
Veloz,65,bensin,manual,2015,149
Veloz,60,bensin,otomatis,2015,153
Veloz,50,bensin,manual,2014,162
Veloz,65,bensin,otomatis,2016,158
Veloz,55,bensin,otomatis,2016,150
Veloz,25,bensin,manual,2017,180
Veloz,135,bensin,otomatis,2012,119
Veloz,85,bensin,otomatis,2012,108
Veloz,10,bensin,otomatis,2019,209
Veloz,75,bensin,manual,2014,175
Veloz,80,bensin,otomatis,2016,167
Veloz,185,bensin,otomatis,2012,125
Veloz,80,bensin,manual,2012,130
Venturer,30,diesel,manual,2017,370
Venturer,10,diesel,otomatis,2018,395
Venturer,80,diesel,otomatis,2016,325
Venturer,15,bensin,otomatis,2017,350
Venturer,25,bensin,manual,2018,340
Venturer,5,bensin,otomatis,2019,375
Venturer,25,bensin,otomatis,2017,316
Venturer,30,diesel,otomatis,2018,395
Venturer,20,bensin,otomatis,2018,355
Venturer,15,bensin,manual,2019,375
Venturer,40,bensin,otomatis,2017,319
Venturer,20,diesel,otomatis,2017,396
Venturer,55,bensin,manual,2017,280
Venturer,35,diesel,otomatis,2017,369
Venturer,30,bensin,otomatis,2017,318
Venturer,20,bensin,otomatis,2018,348
Venturer,45,bensin,otomatis,2016,278
Venturer,35,diesel,manual,2017,381
Venturer,10,diesel,otomatis,2018,415
Venturer,55,bensin,manual,2017,280
Venturer,45,bensin,otomatis,2016,278
Venturer,15,bensin,manual,2017,295
Venturer,40,bensin,otomatis,2016,279
Venturer,45,diesel,otomatis,2017,272
Venturer,35,bensin,otomatis,2016,288
Venturer,5,diesel,otomatis,2019,466
Venturer,15,diesel,manual,2018,420
Venturer,40,bensin,otomatis,2017,313
Venturer,30,bensin,otomatis,2017,328
Venturer,25,diesel,otomatis,2017,362
Venturer,15,bensin,otomatis,2017,325
Venturer,70,diesel,otomatis,2016,325
Venturer,20,diesel,otomatis,2018,410
Venturer,20,diesel,otomatis,2018,400
Venturer,40,bensin,otomatis,2016,279
Venturer,10,diesel,otomatis,2018,415
